L,J_over_U,tau,S,C_S_burn,D_S,handle_pct,sp_out_Rii,sp_Fi_out,cont_err
8,0.12,1,"(2, 4, 5)",-0.0003508705724083876,-0.0009482257750131895,21.428571428571427,-0.9285714285714287,0.19047619047619052,2.9246452018186903e-06
8,0.12,2,"(2, 4, 5)",-0.0003508705724083876,-0.0032184240233981143,21.428571428571427,-0.9639253854237598,0.19047619047619052,2.9246452018186903e-06
8,0.12,3,"(2, 4, 5)",-0.0003508705724083876,-0.004387193460958838,21.428571428571427,-0.9940297973880048,0.19047619047619052,2.9246452018186903e-06
8,0.16,1,"(3, 4, 5)",0.0011827730700889679,0.0013684610335220615,35.714285714285715,-0.7784570702436182,0.38095238095238104,3.2451845969443116e-06
8,0.16,2,"(3, 4, 5)",0.0011827730700889679,0.003997126920536775,35.714285714285715,-0.7619047619047621,0.38095238095238104,3.2451845969443116e-06
8,0.16,3,"(3, 4, 5)",0.0011827730700889679,0.009241619600078188,46.42857142857143,-0.7784570702436182,0.38095238095238104,3.2451845969443116e-06
8,0.2,1,"(2, 3, 4)",0.003550107944745332,0.003958774838120127,33.92857142857143,-0.7807200583588266,0.22754898976351917,9.730686401285965e-06
8,0.2,2,"(2, 3, 4)",0.003550107944745332,0.010376107669256118,67.85714285714286,-0.7711403083390078,0.22754898976351917,9.730686401285965e-06
8,0.2,3,"(2, 3, 4)",0.003550107944745332,0.021180713257464623,71.42857142857143,-0.7711403083390078,0.22754898976351917,9.730686401285965e-06
8,0.24,1,"(3, 4, 5)",0.007580384247369578,0.008195592529504414,71.42857142857143,-0.37126414119311024,0.19047619047619052,2.1705179696870566e-05
8,0.24,2,"(3, 4, 5)",0.007580384247369578,0.02028361114434385,87.5,-0.4096682888050979,0.19047619047619052,2.1705179696870566e-05
8,0.24,3,"(3, 4, 5)",0.007580384247369578,0.03830773552310651,94.64285714285714,0.16868694244915797,0.19047619047619052,2.1705179696870566e-05
8,0.3,1,"(2, 3, 4)",0.016525358074524113,0.017183740633584632,100.0,-0.7637626158259734,0.3571428571428572,3.953011026860617e-05
8,0.3,2,"(2, 3, 4)",0.016525358074524113,0.04027404647508759,100.0,-0.7880090480744169,0.3571428571428572,3.953011026860617e-05
8,0.3,3,"(2, 3, 4)",0.016525358074524113,0.06986478683315511,100.0,0.3855701541695039,0.3571428571428572,3.953011026860617e-05
8,0.4,1,"(2, 3, 4)",0.03557254890524744,0.034462420741388944,98.21428571428571,-0.9639253854237598,0.9761904761904763,5.465015306535537e-05
8,0.4,2,"(2, 3, 4)",0.03557254890524744,0.07483363695035872,98.21428571428571,-0.9700772721497397,0.9761904761904763,5.465015306535537e-05
8,0.4,3,"(2, 3, 4)",0.03557254890524744,0.11756481626080795,98.21428571428571,0.19278507708475195,0.9761904761904763,5.465015306535537e-05
