setting,strength,realization,J_over_U,overlap_fi_maxn,overlap_fi_geo,pct_fi,pct_maxn,pct_geo,sp_dN_n,sp_dN_fi,sp_dN_cur,sp_dN_geo
tilt,1.0,-1,0.12,0.5,0.5,86.66666666666667,100.0,40.0,1.0,0.7749999999999999,-0.11071428571428568,-0.1704873428320533
tilt,1.0,-1,0.3,1.0,0.0,100.0,100.0,40.0,1.0,0.8964285714285712,0.5678571428571427,-0.1704873428320533
tilt,1.0,-1,0.4,1.0,0.0,100.0,100.0,40.0,1.0,0.8999999999999999,0.7857142857142856,-0.1704873428320533
tilt,2.0,-1,0.12,1.0,0.0,100.0,100.0,40.0,1.0,0.8357142857142855,0.4392857142857142,-0.26314350741469095
tilt,2.0,-1,0.3,1.0,0.0,100.0,100.0,40.0,1.0,0.8357142857142855,0.5392857142857141,-0.26314350741469095
tilt,2.0,-1,0.4,1.0,0.0,100.0,100.0,40.0,1.0,0.8571428571428571,0.5821428571428571,-0.26314350741469095
disorder,1.0,0,0.12,0.5,0.0,86.66666666666667,100.0,13.333333333333334,0.9964285714285712,0.7464285714285712,0.5464285714285714,-0.4836651791213685
disorder,1.0,0,0.3,0.5,0.0,93.33333333333333,100.0,20.0,1.0,0.9464285714285712,0.9642857142857141,-0.02594372608313854
disorder,1.0,0,0.4,0.5,0.0,93.33333333333333,100.0,20.0,1.0,0.9035714285714285,0.6464285714285712,-0.009265616458263765
disorder,1.0,1,0.12,0.0,0.0,46.666666666666664,100.0,60.0,1.0,0.37499999999999994,0.5357142857142856,-0.10192178104090142
disorder,1.0,1,0.3,0.5,0.5,93.33333333333333,100.0,60.0,0.9964285714285712,0.7035714285714285,0.7142857142857142,-0.02594372608313854
disorder,1.0,1,0.4,1.0,0.5,93.33333333333333,93.33333333333333,66.66666666666666,0.9928571428571428,0.8928571428571428,0.7392857142857142,0.042621835708013325
disorder,1.0,2,0.12,0.0,0.5,53.333333333333336,100.0,60.0,1.0,0.5928571428571427,0.05714285714285713,-0.009265616458263765
disorder,1.0,2,0.3,1.0,0.0,100.0,100.0,53.333333333333336,0.9964285714285712,0.914285714285714,0.5107142857142856,-0.042621835708013325
disorder,1.0,2,0.4,1.0,0.0,100.0,100.0,53.333333333333336,1.0,0.9285714285714284,0.6964285714285713,-0.042621835708013325
disorder,1.0,3,0.12,0.5,0.5,86.66666666666667,100.0,93.33333333333333,1.0,0.7499999999999999,0.23571428571428568,0.6615650151200329
disorder,1.0,3,0.3,0.5,0.5,93.33333333333333,100.0,86.66666666666667,0.9892857142857142,0.8892857142857141,0.5785714285714285,0.6356212890368943
disorder,1.0,3,0.4,0.5,0.5,93.33333333333333,100.0,86.66666666666667,0.9964285714285712,0.9571428571428571,0.7428571428571428,0.6022650697871447
disorder,1.0,4,0.12,0.0,0.0,40.0,100.0,53.333333333333336,0.9964285714285712,0.4071428571428571,0.43214285714285705,0.29649972666444047
disorder,1.0,4,0.3,1.0,0.5,100.0,100.0,66.66666666666666,0.9964285714285712,0.8892857142857141,0.7642857142857141,0.4836651791213685
disorder,1.0,4,0.4,1.0,0.5,100.0,100.0,66.66666666666666,1.0,0.9607142857142855,0.8535714285714284,0.42436523378848046
disorder,2.0,0,0.12,0.5,0.5,93.33333333333333,100.0,80.0,1.0,0.7535714285714286,0.6964285714285713,0.26314350741469095
disorder,2.0,0,0.3,0.5,0.5,93.33333333333333,100.0,86.66666666666667,1.0,0.7892857142857141,0.8357142857142855,0.42436523378848046
disorder,2.0,0,0.4,0.5,0.5,100.0,93.33333333333333,86.66666666666667,0.9892857142857142,0.8999999999999999,0.914285714285714,0.5003432887462433
disorder,2.0,1,0.12,0.5,0.0,93.33333333333333,100.0,60.0,1.0,0.8392857142857142,0.4392857142857142,-0.1185998906657762
disorder,2.0,1,0.3,1.0,0.5,100.0,100.0,60.0,1.0,0.9357142857142854,0.6214285714285712,-0.1185998906657762
disorder,2.0,1,0.4,1.0,0.5,100.0,100.0,60.0,1.0,0.9285714285714284,0.8928571428571428,-0.042621835708013325
disorder,2.0,2,0.12,0.5,1.0,93.33333333333333,100.0,93.33333333333333,1.0,0.6642857142857141,0.7785714285714285,0.4484558365799662
disorder,2.0,2,0.3,0.5,1.0,93.33333333333333,100.0,93.33333333333333,1.0,0.7249999999999999,0.8785714285714284,0.4317777269550914
disorder,2.0,2,0.4,0.5,1.0,93.33333333333333,100.0,93.33333333333333,1.0,0.7964285714285713,0.9107142857142855,0.4317777269550914
disorder,2.0,3,0.12,0.5,0.5,86.66666666666667,100.0,53.333333333333336,0.9892857142857142,0.41785714285714276,0.5428571428571428,-0.2205216717066776
disorder,2.0,3,0.3,1.0,0.5,100.0,100.0,73.33333333333333,0.9928571428571428,0.9964285714285712,0.6035714285714285,0.34838717883071757
disorder,2.0,3,0.4,1.0,0.5,100.0,100.0,73.33333333333333,0.9892857142857142,0.9785714285714284,0.6428571428571428,0.41509961733021666
disorder,2.0,4,0.12,1.0,1.0,100.0,100.0,100.0,1.0,0.9785714285714284,0.4392857142857142,0.8969116731599324
disorder,2.0,4,0.3,1.0,1.0,100.0,100.0,100.0,1.0,1.0,0.48214285714285704,0.9302678924096821
disorder,2.0,4,0.4,1.0,1.0,100.0,100.0,100.0,1.0,1.0,0.7535714285714286,0.9302678924096821
