L,J_over_U,tau,mean_diff,ci_lo,ci_hi
6,0.12,1.0,-0.0015583888529384392,-0.0018588984114500196,-0.001289696614482336
6,0.12,2.0,-0.0022841915941544245,-0.002791794061184565,-0.0017522962448993271
6,0.12,3.0,-0.0021309291048379354,-0.0029698412355038894,-0.001262235501055915
6,0.2,1.0,0.0009763662894295621,0.0004734508784730349,0.0014490165460821932
6,0.2,2.0,0.005801007869162741,0.004591632874361279,0.006951532171033161
6,0.2,3.0,0.010571361270318734,0.008680439262672205,0.012439270728034635
6,0.3,1.0,0.013119782158452761,0.012139271005138475,0.014034763592435965
6,0.3,2.0,0.028984403733748314,0.026687708622707224,0.031070596088052536
6,0.3,3.0,0.03988011873445448,0.036468526798876175,0.043173831972654134
6,0.4,1.0,0.019236745916784453,0.017297888045804552,0.020982618698577798
6,0.4,2.0,0.0401081876949669,0.03649830516785414,0.04332024202660373
6,0.4,3.0,0.04668713147272142,0.04169319781655802,0.05099045101278802
7,0.12,1.0,-0.002653549493137907,-0.003276658729893476,-0.0020087409237549217
7,0.12,2.0,-0.005219603035923155,-0.00630071561113272,-0.004117175845318914
7,0.12,3.0,-0.005778383603247108,-0.0073597979127696745,-0.00413710063163935
7,0.2,1.0,-0.002567569614376768,-0.0033888927038154327,-0.0016594639108416665
7,0.2,2.0,0.0003046921745810871,-0.0011072770944284451,0.0016202617859215598
7,0.2,3.0,0.0033513440970150076,0.0010290095481110414,0.005848461721390495
7,0.3,1.0,0.01336414348444516,0.012490453300249425,0.014257986983903743
7,0.3,2.0,0.02996122196096963,0.02734784638995733,0.032604660231638556
7,0.3,3.0,0.04554498720901302,0.04133323503961448,0.050040557373813875
7,0.4,1.0,0.024530312188781447,0.02283465216751531,0.026324530857180534
7,0.4,2.0,0.049736465777622876,0.04588696635475241,0.053649968750425506
7,0.4,3.0,0.06750836908947928,0.0619163095746284,0.07272978107957061
8,0.12,1.0,-0.001982647317708196,-0.00236663425643044,-0.0016541745813166383
8,0.12,2.0,-0.004022314852020148,-0.00465402997219122,-0.0033981972812694734
8,0.12,3.0,-0.0059139842239540105,-0.006775321227084346,-0.004995733106322746
8,0.2,1.0,-0.0009760976671393495,-0.001575452749913718,-0.00035775808806971055
8,0.2,2.0,0.0035699829424915477,0.002397189419161414,0.004687651393312682
8,0.2,3.0,0.007088372820330754,0.005151815451235949,0.009057152037619639
8,0.3,1.0,0.00897688274442749,0.008065523617921806,0.009841804135050494
8,0.3,2.0,0.025575948638156668,0.022946885109778402,0.027948934027011443
8,0.3,3.0,0.04083301927096395,0.03668121492581664,0.044489118361716394
8,0.4,1.0,0.022211476501422796,0.0205493008963018,0.02376753986222785
8,0.4,2.0,0.051701042019535175,0.04803135818480123,0.05508349189252881
8,0.4,3.0,0.0715132464945582,0.06655300711264094,0.0759921846359349
